frame,cx,cy,x1,y1,x2,y2,conf
10,516,316,477,199,555,433,0.7519040107727051
10,663,297,625,191,701,403,0.7467054128646851
10,585,260,547,159,624,362,0.7133388519287109
10,223,604,136,490,310,719,0.5482515692710876
10,460,303,433,195,487,412,0.5126861929893494
11,770,381,719,260,822,503,0.7967506647109985
11,658,300,620,194,697,407,0.7286205887794495
11,509,316,467,202,552,431,0.704796314239502
11,584,264,548,166,621,363,0.6958598494529724
11,218,608,126,498,310,719,0.6599213480949402
11,458,301,431,194,485,409,0.5035948753356934
12,770,390,722,263,818,518,0.7324897646903992
12,505,317,458,204,553,430,0.7170159816741943
12,583,265,548,169,619,361,0.7165572643280029
12,226,612,111,508,341,716,0.6736237406730652
12,659,308,624,204,695,412,0.6513543725013733
12,455,297,429,193,482,402,0.48457467555999756
13,769,388,720,268,819,509,0.7897806763648987
13,584,269,547,173,622,366,0.7411687970161438
13,508,321,461,214,556,429,0.7179762721061707
13,659,303,624,204,694,402,0.6992955207824707
13,453,294,427,191,480,398,0.5256823897361755
14,770,391,720,271,820,512,0.7865219116210938
14,506,322,458,216,554,428,0.7318663597106934
14,584,277,547,176,621,379,0.7209294438362122
14,658,306,622,208,695,405,0.6946365237236023
14,452,292,426,188,478,397,0.5137100219726562
15,770,400,722,279,818,521,0.7628597021102905
15,506,325,459,222,553,428,0.7542064785957336
15,584,279,546,176,622,383,0.7347285747528076
15,659,309,620,212,698,407,0.7077906727790833
15,450,288,425,188,475,389,0.5128664374351501
16,583,273,546,176,620,371,0.7609515190124512
16,657,317,619,219,696,415,0.7226147055625916
16,768,402,720,281,817,523,0.7128244042396545
16,504,322,457,216,551,428,0.703941285610199
16,449,296,426,189,473,403,0.4297850430011749
16,812,272,784,188,840,356,0.41060513257980347
16,718,279,697,200,739,359,0.35970935225486755
17,582,277,545,177,620,378,0.7760911583900452
17,767,413,717,287,817,539,0.7465137243270874
17,656,321,618,222,694,420,0.7264202833175659
17,501,314,455,200,548,428,0.6977541446685791
17,813,268,786,188,840,348,0.3824288845062256
18,582,281,545,178,620,384,0.7911360859870911
18,651,326,612,221,690,431,0.7587301135063171
18,500,314,454,201,546,428,0.7276257872581482
18,766,395,714,287,818,503,0.6900664567947388
18,728,283,690,190,767,377,0.3762376308441162
19,762,426,708,288,817,565,0.807320237159729
19,650,327,610,221,690,434,0.788346529006958
19,581,282,544,178,619,386,0.7880465388298035
19,498,320,452,212,545,428,0.6680127382278442
19,720,290,689,190,752,391,0.3955678343772888
20,649,329,609,221,689,437,0.8006765246391296
20,762,430,707,293,818,567,0.7976248860359192
20,580,283,542,178,619,388,0.7940607070922852
20,496,312,448,197,545,428,0.7233664989471436
21,763,431,707,295,819,567,0.809718132019043
21,647,328,607,220,688,437,0.8085912466049194
21,579,282,540,178,619,387,0.7862511873245239
21,493,311,443,195,544,428,0.7268378138542175
21,722,304,688,192,756,416,0.3789769113063812
22,645,328,605,219,686,437,0.8144317269325256
22,762,431,705,298,820,565,0.8111592531204224
22,579,283,541,179,618,388,0.7670319676399231
22,489,310,440,192,539,428,0.7390590310096741
22,727,310,687,194,768,427,0.4595344662666321
23,762,436,702,303,823,570,0.824838399887085
23,644,328,603,219,686,437,0.8178368210792542
23,580,283,542,178,619,389,0.759573757648468
23,485,308,434,191,536,426,0.7469869256019592
23,725,316,685,201,766,431,0.4604448080062866
24,642,330,601,221,684,439,0.8249499797821045
24,765,445,705,308,825,582,0.8196236491203308
